orientation,household,decoration,residence_id,unit_price,house_type,property_type,residence_url,house_owner,mortgage,area,elevator,build_type,heating_style,structure,lj_num,total_floor,crawl_time,listing_date,last_deal,house_backup,inner_area,total_price,build_struct,ring_num,url,house_age,floor,house_type_struct
南 北,一梯两户,其他,0,13309,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711057795108/,暂无数据,暂无数据,139㎡,无,板楼,,4室2厅1厨2卫,104100614553,6,2017-09-21 14:12:04,2017-09-20,暂无数据,未上传房本照片,暂无数据,185,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100614553.html,暂无数据,低楼层,暂无数据
南,两梯五户,其他,0,22000,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/377806763150805/,暂无数据,暂无数据,70㎡,有,板楼,,2室2厅1厨1卫,104100615493,41,2017-09-21 14:12:05,2017-09-21,暂无数据,未上传房本照片,暂无数据,154,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100615493.html,暂无数据,中楼层,平层
东,一梯三户,其他,0,19643,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711099868340/,暂无数据,暂无数据,84㎡,暂无数据,板楼,,2室2厅1厨1卫,104100615621,32,2017-09-21 14:12:05,2017-09-21,暂无数据,未上传房本照片,暂无数据,165,钢混结构, 一至二环,https://wh.lianjia.com/ershoufang/104100615621.html,暂无数据,高楼层,暂无数据
南,一梯两户,其他,0,13615,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711057795108/,暂无数据,暂无数据,134.41㎡,无,板楼,,3室2厅1厨2卫,104100615679,6,2017-09-21 14:12:05,2017-09-21,暂无数据,未上传房本照片,暂无数据,183,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100615679.html,暂无数据,低楼层,暂无数据
南 北,一梯两户,其他,0,14063,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711057799825/,暂无数据,暂无数据,96㎡,无,板楼,,3室2厅1厨1卫,104100615702,6,2017-09-21 14:12:05,2017-09-21,暂无数据,未上传房本照片,暂无数据,135,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100615702.html,暂无数据,低楼层,暂无数据
北,一梯四户,其他,0,14187,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711057803920/,暂无数据,暂无数据,72.6㎡,无,板楼,,2室1厅1厨1卫,104100615258,6,2017-09-21 14:12:06,2017-09-21,暂无数据,未上传房本照片,暂无数据,103,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100615258.html,暂无数据,高楼层,暂无数据
南,三梯九户,精装,0,23994,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711058494959/,非共有,有抵押 40万元 中国银行 客户偿还,110.86㎡,有,板塔结合,,2室2厅1厨1卫,104100614157,28,2017-09-21 14:12:12,2017-09-20,2015-02-28,已上传房本照片,92.98㎡,266,钢混结构, ,https://wh.lianjia.com/ershoufang/104100614157.html,满两年,高楼层,暂无数据
南,三梯两户,其他,0,50000,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711062651070/,暂无数据,暂无数据,240㎡,有,塔楼,,3室2厅1厨3卫,104100614845,38,2017-09-21 14:12:12,2017-09-20,暂无数据,未上传房本照片,暂无数据,1200,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100614845.html,暂无数据,高楼层,暂无数据
南,五梯十户,其他,0,32651,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711062651070/,暂无数据,暂无数据,90.35㎡,有,板楼,,2室2厅1厨1卫,104100615018,57,2017-09-21 14:12:12,2017-09-20,暂无数据,未上传房本照片,暂无数据,295,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100615018.html,暂无数据,中楼层,暂无数据
南 北,,其他,0,42126,别墅,商品房,https://wh.lianjia.com/xiaoqu/3710161276857949/,暂无数据,暂无数据,261.12㎡,,,,4室2厅1厨3卫,104100615164,6,2017-09-21 14:12:14,2017-09-20,暂无数据,未上传房本照片,暂无数据,1100,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100615164.html,暂无数据,中楼层,
