orientation,household,decoration,residence_id,unit_price,house_type,property_type,residence_url,house_owner,mortgage,area,elevator,build_type,heating_style,structure,lj_num,total_floor,crawl_time,listing_date,last_deal,house_backup,inner_area,total_price,build_struct,ring_num,url,house_age,floor,house_type_struct
东南,一梯两户,其他,0,15902,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711056278675/,非共有,暂无数据,110.05㎡,无,板楼,,2室2厅1厨1卫,104100620499,8,2017-09-24 22:26:01,2017-09-24,2015-07-17,已上传房本照片,88.91㎡,175,钢混结构, 一至二环,https://wh.lianjia.com/ershoufang/104100620499.html,满两年,中楼层,暂无数据
南 北,两梯两户,其他,0,41237,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711099394208/,暂无数据,暂无数据,169.75㎡,有,板楼,,4室2厅1厨2卫,104100619207,28,2017-09-24 22:26:01,2017-09-23,2015-09-23,未上传房本照片,暂无数据,700,钢混结构, 一至二环,https://wh.lianjia.com/ershoufang/104100619207.html,暂无数据,中楼层,暂无数据
南,一梯两户,其他,0,17000,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711056436947/,暂无数据,暂无数据,100㎡,无,塔楼,,2室2厅1厨1卫,104100619365,7,2017-09-24 22:26:02,2017-09-23,暂无数据,未上传房本照片,暂无数据,170,钢混结构, 一至二环,https://wh.lianjia.com/ershoufang/104100619365.html,暂无数据,中楼层,暂无数据
东南,一梯两户,其他,0,17722,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711060084993/,暂无数据,暂无数据,158㎡,无,塔楼,,3室2厅1厨2卫,104100620921,8,2017-09-24 22:26:02,2017-09-24,暂无数据,未上传房本照片,暂无数据,280,钢混结构, 一至二环,https://wh.lianjia.com/ershoufang/104100620921.html,暂无数据,中楼层,暂无数据
西北,两梯六户,其他,0,21098,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/379527594332237/,暂无数据,暂无数据,83.42㎡,有,塔楼,,2室1厅1厨1卫,104100621271,30,2017-09-24 22:26:03,2017-09-24,暂无数据,未上传房本照片,暂无数据,176,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100621271.html,暂无数据,中楼层,暂无数据
南,一梯四户,简装,0,15487,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711059311263/,共有,无抵押,113㎡,无,板楼,,3室2厅1厨1卫,104100620153,6,2017-09-24 22:26:20,2017-09-23,暂无数据,未上传房本照片,暂无数据,175,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100620153.html,暂无数据,中楼层,暂无数据
南,四梯二十一户,其他,0,19245,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711100291609/,暂无数据,暂无数据,41.57㎡,有,板楼,,1室1厅1厨1卫,104100616761,33,2017-09-24 22:26:30,2017-09-22,暂无数据,未上传房本照片,暂无数据,80,钢混结构, 一环内,https://wh.lianjia.com/ershoufang/104100616761.html,暂无数据,高楼层,暂无数据
南,四梯二十六户,其他,0,19048,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711100291609/,暂无数据,暂无数据,42㎡,有,板楼,,1室1厅1厨1卫,104100619266,33,2017-09-24 22:26:32,2017-09-23,暂无数据,未上传房本照片,暂无数据,80,钢混结构, 一环内,https://wh.lianjia.com/ershoufang/104100619266.html,暂无数据,低楼层,暂无数据
南,两梯六户,其他,0,27990,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711063334721/,暂无数据,暂无数据,85.03㎡,有,板楼,,2室1厅1厨1卫,104100619690,30,2017-09-24 22:26:33,2017-09-23,暂无数据,未上传房本照片,暂无数据,238,钢混结构, 一环内,https://wh.lianjia.com/ershoufang/104100619690.html,暂无数据,低楼层,暂无数据
南 北,一梯两户,其他,0,17677,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3713672969678698/,暂无数据,暂无数据,198㎡,暂无数据,板楼,,4室2厅1厨2卫,104100619040,11,2017-09-24 22:27:53,2017-09-23,暂无数据,未上传房本照片,暂无数据,350,钢混结构, 二至三环,https://wh.lianjia.com/ershoufang/104100619040.html,暂无数据,高楼层,暂无数据
南 北,一梯两户,简装,0,34602,普通住宅,商品房,https://xm.lianjia.com/xiaoqu/3911058044565/,共有,有抵押 46万元 邮政储蓄 客户偿还,101.15㎡,无,板楼,,3室2厅1厨1卫,105101017643,7,2017-09-24 22:27:55,2017-09-23,2017-09-23,已上传房本照片,暂无数据,350,钢混结构, ,https://xm.lianjia.com/ershoufang/105101017643.html,暂无数据,中楼层,平层
东北,两梯两户,其他,0,23478,普通住宅,商品房,https://jn.lianjia.com/xiaoqu/4511059525037/,暂无数据,暂无数据,115㎡,有,板楼,集中供暖,2室2厅1厨1卫,103101752108,18,2017-09-24 22:27:57,2017-09-23,暂无数据,未上传房本照片,暂无数据,270,钢混结构, 二环外,https://jn.lianjia.com/ershoufang/103101752108.html,暂无数据,中楼层,平层
东,两梯六户,其他,0,28622,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711063334878/,非共有,暂无数据,90.14㎡,有,板楼,,2室1厅1厨1卫,104100617895,32,2017-09-24 22:28:01,2017-09-22,2012-12-03,已上传房本照片,74.13㎡,258,钢混结构, 一环内,https://wh.lianjia.com/ershoufang/104100617895.html,满两年,高楼层,平层
北,四梯二十户,其他,0,21755,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711100288583/,暂无数据,暂无数据,41.37㎡,有,塔楼,,1室0厅1厨1卫,104100618159,32,2017-09-24 22:28:07,2017-09-22,暂无数据,未上传房本照片,暂无数据,90,钢混结构, 一至二环,https://wh.lianjia.com/ershoufang/104100618159.html,暂无数据,高楼层,暂无数据
